Geneid,Length,KO_PBS_642,KO_PBS_641,KO_PBS_638,KO_LPS_600,KO_LPS_194,KO_LPS_193,Control_PBS_175,Control_PBS_171,Control_PBS_170,Control_LPS_185,Control_LPS_184,Control_LPS_149
ENSMUSG00000102693,1070,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,110,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,6094,4,0,0,0,0,0,0,0,0,1,10,12
ENSMUSG00000102851,480,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,2819,0,0,0,4,0,0,0,0,0,12,0,2
ENSMUSG00000104017,2233,0,0,0,0,1,0,0,0,0,0,0,5
ENSMUSG00000103025,2309,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,250,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,2057,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,926,3,3.17,3.33,5.5,5,1.5,5.33,4,2,3,3,1.33
ENSMUSG00000103161,3012,0,0,0,5,0,0,2,0,0,0,0,0
ENSMUSG00000102331,3259,0,0,0,7,2,1,0,0,0,0,7,8
ENSMUSG00000102348,1634,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,2351,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,58,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,1364,0,0,0,0,0,0,0,9,0,0,0,0
ENSMUSG00000025900,12311,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948,1867,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,1484,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,4772,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104238,2917,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102269,2991,4.5,8,1.5,6,3,2,5,1,1,3,1,0
ENSMUSG00000096126,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,450,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,2773,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102735,936,0,0.43,0,0,5.2,0,2.17,0,0.17,0.17,0,0
ENSMUSG00000098104,1470,87,36,72,66,54,120,71.5,91,44.5,69,59,53
ENSMUSG00000102175,1206,3.17,6.5,6,10.67,6.33,7,17.67,5.67,3.83,5.83,8.5,2.83
ENSMUSG00000088000,103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,631,0,0,0,0,0,0,0,0,6,0,0,0
ENSMUSG00000103922,1069,59.5,57,43.5,42.5,54.5,60,112,89,55.5,83.5,75.5,54.5
ENSMUSG00000033845,8487,567,307.5,529,570.5,447.5,514,778,513.5,443,371,436,399.5
ENSMUSG00000102275,1150,39,23,64,57,42.33,72.5,67.2,25,42,39,67.5,30
ENSMUSG00000025903,7145,958.75,510.5,1008.25,817.67,684.25,919.83,1109.75,782.25,951,712.75,869.5,770.5
ENSMUSG00000104217,825,325.5,194.75,293,329.42,251.5,383.08,370.33,334,294.25,341.5,324.25,292
ENSMUSG00000033813,3017,1112.67,559.92,805.17,1043.92,816.58,1195.92,1567.17,914.92,785.25,945.28,938.08,968.83
ENSMUSG00000062588,603,1,2.5,4.5,0,3,3.5,4,0,0,6.5,1.5,0
ENSMUSG00000103280,1111,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002459,4239,0,0,6,0,1,2,0,0,0,3,0.5,0
ENSMUSG00000091305,272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,2135,0,0,0,0,0,0.12,0,0,0,0,0,0
ENSMUSG00000085623,3725,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091665,1588,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,9746,1043,618,1193,1163,815.5,1166.5,1757,808,840,876,996.33,965
ENSMUSG00000104352,732,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,2279,0,0,0,0,0,1.57,0.14,0,0,0,0,1.5
ENSMUSG00000102907,2032,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,9151,0,0,0,0,0,0,0,0,0,5,0,2
